IP,Cantidad registros
sin_catalogar,218056
165.22.202.225,234
43.128.118.251,198
43.156.57.32,234
187.188.240.7,197
213.55.96.11,197
160.251.46.56,120
1.165.22.202,3
12.213.55.96,3
165.227.68.95,114
167.172.142.20,391
180.76.178.75,113
1.167.172.142,3
3.167.172.142,3
180.76.109.20,154
80.66.150.238,240
43.154.42.151,120
12.187.188.240,3
3.165.227.68,3
1.165.227.68,3
1.43.128.118,3
43.155.66.156,194
10.43.155.66,3
1.43.155.66,3
177.207.207.172,114
178.140.56.159,357
62.210.214.15,217
47.149.76.187,120
01.177.207.207,3
5.62.210.214,3
02.177.207.207,3
198.199.86.90,234
159.89.230.196,120
180.76.177.246,259
43.134.195.181,418
123.43.134.195,3
1.180.76.177,3
5.198.199.86,3
164.92.176.222,220
183.82.115.221,120
159.65.73.172,114
167.99.0.129,13
144.126.197.136,200
87.129.187.148,502
134.209.178.50,234
190.111.23.10,334
188.166.36.238,314
143.198.133.234,300
165.227.186.72,314
137.184.52.136,246
143.198.144.214,237
178.128.151.186,314
1.159.65.73,3
43.132.156.30,468
103.233.2.182,831
34.81.45.218,115
43.129.244.207,120
1.178.128.151,3
1.43.132.156,39
123.34.81.45,3
1.165.227.186,3
05.103.233.2,3
1.188.166.36,3
2.43.132.156,15
3.137.184.52,3
1.34.81.45,3
188.254.0.160,237
159.223.239.180,117
3.34.81.45,3
21.188.254.0,3
1.103.233.2,9
181.49.53.26,422
1.181.49.53,6
4.181.49.53,6
23.94.56.185,240
187.189.51.115,320
139.59.70.89,264
35.202.200.207,117
106.249.241.58,194
221.157.75.252,114
104.236.248.184,201
51.75.224.152,200
43.128.42.9,128
1.35.202.200,3
022.221.157.75,3
178.128.25.31,198
02.106.249.241,3
1.221.157.75,3
43.154.189.209,200
188.81.133.7,231
11.178.128.25,3
114.251.97.62,264
106.12.146.97,345
103.233.0.18,157
1.106.249.241,3
3.188.81.133,6
1.178.128.25,3
43.154.33.23,194
43.156.59.86,117
104.211.211.183,191
13.90.206.15,497
185.18.213.163,451
175.24.33.7,117
43.154.179.38,388
80.253.31.232,120
114.67.89.247,161
2.43.154.33,3
1.175.24.33,3
159.223.218.246,234
11.104.211.211,3
1.43.156.59,3
01.43.154.179,3
123.43.154.33,3
1.159.223.218,6
179.43.156.231,197
197.5.145.243,314
129.226.94.180,197
207.154.211.157,50
138.68.58.35,220
34.92.176.182,312
43.132.156.214,594
11.197.5.145,3
8.43.132.156,12
159.89.226.10,454
222.90.31.232,117
175.214.113.78,236
3.175.214.113,6
1.222.90.31,3
3.34.92.176,6
06.129.226.94,3
1.104.211.211,3
154.92.19.8,120
154.221.18.237,297
203.110.90.195,161
167.172.187.120,348
138.68.230.183,351
185.190.39.199,331
01.175.214.113,3
1.185.190.39,3
43.134.201.159,334
2.185.190.39,3
6.185.190.39,3
140.238.14.170,120
3.154.221.18,3
3.203.110.90,3
165.227.124.168,494
